NanogKO_0h_1 NanogKO_0h_2 NanogKO_0h_3 NanogKO_12h_1 NanogKO_12h_2 NanogKO_12h_3 NanogKO_24h_1 NanogKO_24h_2 NanogKO_24h_3 WT_0h_1 WT_0h_2 WT_12h_1 WT_12h_2 WT_12h_3 WT_24h_1 WT_24h_2 WT_24h_3
Wisp2 77 86 106 1 10 1 6 6 1 52 78 8 2 4 4 9 5
Kcnk15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Rims4 4 3 8 13 15 12 38 33 14 4 9 9 8 3 28 31 32
Ywhab 4613 4698 5328 4846 4412 2859 5774 3706 2483 3851 6627 8209 2716 2142 4453 5440 6376
Pabpc1l 10 2 10 6 8 5 6 6 4 3 5 9 2 1 5 8 6
Tomm34 1149 1154 1404 914 866 567 1116 744 542 1038 1785 1955 711 488 1235 1476 1695
Stk4 1652 1678 1985 1732 1622 1068 2146 1425 909 1236 2455 3152 1014 777 1832 2336 2574
Kcns1 2 2 5 3 9 2 9 3 4 1 5 5 3 1 4 4 6
Wfdc5 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0
Wfdc12 1 0 0 1 0 1 0 3 0 0 1 2 1 0 1 0 0
Wfdc15a 72 41 77 69 57 31 67 46 49 9 26 37 10 7 30 30 47
Wfdc15b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Svs2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Svs3b 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
Svs4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Svs3a 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
Svs6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Svs5 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 1 4
Slpi 1 4 3 12 17 25 8 5 12 6 4 66 18 9 10 9 27
Mir7678 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Matn4 3 13 6 4 7 5 17 4 10 7 13 12 4 1 7 7 8
Rbpjl 0 0 2 13 9 2 3 3 2 0 1 9 0 3 0 1 0
Sdc4 4226 4232 4998 7118 6070 3797 4901 2920 2605 1275 2190 5750 1792 1315 2611 3035 3231
Sys1 811 816 911 935 862 563 864 529 435 503 1001 1290 470 329 663 594 782
Trp53tg5 2 2 3 3 5 5 5 2 2 2 0 6 3 3 4 4 3
Dbndd2 105 105 115 96 80 44 48 46 30 82 116 100 32 33 56 49 60
Pigt 1333 1335 1445 1489 1403 932 1262 855 681 1015 1742 2607 976 649 1232 1093 1346
Wfdc2 786 748 920 397 385 210 227 174 116 614 875 711 247 189 228 312 350
Spint3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Wfdc6a 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Eppin 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
Wfdc8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
Wfdc6b 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
Wfdc16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Wfdc9 0 0 1 0 1 0 1 2 0 1 1 0 0 0 2 1 4
Wfdc10 4 4 8 1 1 0 1 0 1 1 0 3 0 0 0 1 0
Wfdc11 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
Wfdc13 5 0 5 1 2 3 3 4 4 0 2 0 0 0 1 0 1
Spint4 0 0 1 1 0 1 0 2 0 0 0 0 0 0 1 0 1
Spint5 29 35 50 62 51 32 59 49 48 13 14 36 12 6 29 42 34
Wfdc3 0 0 0 2 1 0 2 0 2 0 0 0 0 0 0 1 0
Dnttip1 812 760 905 816 751 491 672 442 390 570 1046 1190 422 311 500 600 704
Ube2c 4111 3954 4445 3348 3204 2192 4211 2967 2139 3729 5776 7409 2668 1977 4344 4713 5630
Tnnc2 9 14 6 12 13 11 19 10 9 10 10 22 7 6 10 22 12
Snx21 178 151 188 182 154 110 151 117 70 123 217 295 121 72 151 166 193
Acot8 392 397 484 468 454 291 499 344 272 210 326 646 250 152 351 394 429
Zswim3 354 312 397 316 304 203 392 230 180 262 416 633 204 169 263 385 428
Zswim1 885 894 1074 1029 881 606 882 545 411 793 1370 2221 820 611 1101 1128 1443
Spata25 1 3 3 3 3 1 0 0 0 2 4 2 0 1 0 0 0
Neurl2 45 35 50 35 25 20 28 21 12 36 34 63 22 15 24 28 26
Ctsa 3503 3483 4304 3081 2746 1853 3304 2170 1623 1256 2157 2937 1015 774 1362 1581 1902
Pltp 1408 1288 1726 1130 1010 675 1251 803 589 444 702 750 333 192 509 533 618
Pcif1 704 644 775 765 693 498 636 426 302 494 906 1271 521 337 725 772 801
Zfp335 630 629 785 944 905 677 1088 763 465 495 1013 1547 558 398 847 861 990
Mmp9 482 487 596 913 921 626 752 661 265 669 1244 4174 1791 1110 1476 1678 2004
Slc12a5 83 103 110 109 116 66 120 104 60 49 85 108 45 37 70 66 78
Ncoa5 1209 1196 1453 1452 1446 886 1802 1137 881 912 1724 2646 950 674 1567 1764 1875
Cd40 40 41 52 48 45 23 46 35 15 188 321 359 162 94 146 172 219
1700025C18Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cdh22 7 4 13 1 8 8 12 6 9 13 28 44 5 16 21 21 33
Slc35c2 461 451 596 522 445 323 466 297 217 428 711 934 341 251 485 496 566
Elmo2 768 781 988 712 649 428 725 484 331 748 1256 1501 630 432 811 945 1079
Zfp663 1 0 1 2 0 0 2 0 0 0 8 1 1 1 3 4 3
Zfp334 115 102 142 106 114 66 165 88 68 276 544 508 197 142 245 280 355
Ocstamp 14 6 7 7 2 0 3 2 5 3 4 3 0 1 2 4 4
Slc13a3 1 7 3 3 3 3 5 4 0 4 3 3 0 0 0 3 1
2810408M09Rik 377 386 425 549 516 368 651 491 370 285 585 1017 353 279 673 683 825
Slc2a10 4 9 19 4 6 6 7 8 7 18 26 27 2 7 5 12 11
Eya2 4 6 8 7 0 3 5 4 9 19 48 43 24 14 35 29 34
Zmynd8 4089 4297 5156 3921 3521 2282 4125 2774 1887 2490 4757 4972 1737 1266 2542 2902 3390
Ncoa3 7432 7327 9244 8665 8038 5371 8363 5406 3672 2511 4612 10262 3647 2816 4976 6255 6930
Sulf2 3333 3182 3826 2471 2461 1727 2344 1563 1149 2789 5591 6374 2353 1694 2900 3495 4023
Gm11468 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
5031425F14Rik 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Prex1 152 118 155 186 187 126 184 119 104 167 290 351 146 109 190 190 250
Mir6364 0 1 1 2 2 0 0 0 0 0 0 1 0 0 0 0 1
Trp53rk 252 292 312 382 393 268 433 345 263 201 432 699 251 195 466 483 609
Arfgef2 2240 2110 2478 2323 2052 1348 2433 1658 1052 1084 1875 2934 1042 833 1371 1788 2132
Cse1l 4809 4630 5825 5274 4749 2970 6860 4431 2747 3746 6612 9043 3051 2418 5865 7737 8482
Stau1 1540 1697 1882 1609 1511 1010 1654 1125 728 1162 2046 2732 923 710 1216 1478 1947
Ddx27 3011 2898 3510 3433 3170 2196 3835 2565 1675 2309 3942 5695 2070 1413 3126 3599 4242
Znfx1 613 674 835 766 673 412 684 428 283 465 882 1553 538 393 666 833 941
1500012F01Rik 1161 1169 1323 1124 1067 611 1225 784 686 847 1106 1974 629 511 1150 1350 1384
Snord12 29 36 58 68 71 36 68 48 48 37 74 127 30 41 79 110 94
Kcnb1 113 113 160 81 105 71 139 57 42 47 103 102 32 36 111 114 123
Ptgis 231 289 338 332 340 191 559 349 264 228 390 412 147 112 334 363 486
B4galt5 1192 1161 1383 1127 1079 718 1359 867 665 782 1791 1899 745 533 1230 1323 1503
Slc9a8 543 503 727 477 470 291 526 366 256 368 722 937 286 260 474 554 589
Spata2 512 510 544 716 677 488 816 492 375 353 705 1132 389 312 640 741 858
Rnf114 1567 1611 1844 1913 1697 1103 2173 1418 1116 1209 2022 3432 1230 911 2088 2396 2610
Snai1 221 224 261 311 299 196 312 173 162 139 246 322 143 92 129 128 163
Ube2v1 4860 4644 5575 5219 5039 3330 6130 3988 2855 4209 6921 8708 3371 2351 5165 5580 6610
Tmem189 837 822 1024 973 996 649 1157 740 572 660 1205 1446 496 362 838 913 978
Cebpb 195 179 211 99 106 83 115 78 89 75 420 132 67 36 95 78 86
A530013C23Rik 1 1 0 0 0 0 1 0 0 0 1 2 0 1 0 1 1
Ptpn1 1002 996 1167 1002 984 664 1140 794 549 856 1657 1912 742 469 1129 1269 1458
Fam65c 7 7 10 12 10 11 8 7 4 7 5 9 4 4 3 1 7
Pard6b 1071 947 1200 1087 1033 693 1127 716 474 681 1219 1519 499 369 748 859 963
E130018N17Rik 19 20 28 0 4 8 5 7 1 14 4 10 4 1 9 2 15
Adnp 2983 3140 3692 3011 2697 1786 3213 2170 1204 2233 4146 5438 1898 1422 2663 3628 4190
Dpm1 867 900 1057 765 731 457 1146 753 548 477 737 879 312 204 623 826 928
Mocs3 196 237 249 194 188 142 226 140 138 96 309 309 115 53 236 220 224
Kcng1 60 46 44 13 21 10 33 31 23 16 36 22 6 6 9 16 19
Nfatc2 135 153 156 148 154 108 207 127 95 103 189 270 121 57 128 149 199
Atp9a 899 918 1057 675 656 430 646 427 308 523 871 1284 481 358 754 865 949
Mir7004 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2
Sall4 6037 6116 7253 7153 6428 4367 5800 3693 2677 3590 7591 11893 4015 2901 4880 5696 6935
Zfp64 1532 1481 1844 2186 1935 1384 1732 1173 819 1094 1811 3196 1122 880 1558 1489 1982
1700017J07Rik 5 2 1 2 3 2 4 5 2 0 2 1 0 0 2 3 2
Tshz2 24 25 22 59 58 53 37 28 38 27 55 181 71 55 141 150 162
A630075F10Rik 0 0 2 1 3 2 3 0 0 0 0 0 1 0 1 0 3
Zfp217 1677 1705 2096 1602 1425 926 1468 960 634 984 2138 2538 884 662 1234 1738 1881
Bcas1 67 53 97 84 89 40 119 91 58 44 52 120 44 29 93 112 123
Bcas1os2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
Cyp24a1 0 0 1 2 2 3 7 1 2 1 1 2 2 0 2 3 4
Pfdn4 757 693 876 857 822 514 1097 730 657 552 773 1155 409 358 1015 1094 1066
Gm16796 2 8 6 11 9 9 7 9 12 3 13 12 4 3 7 6 6
4930470P17Rik 4 2 3 0 3 0 4 4 1 0 2 0 1 0 0 1 1
Dok5 31 21 29 25 23 19 43 26 12 17 39 48 18 16 27 34 35
1700028P15Rik 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
Cbln4 1 0 0 0 0 1 14 4 7 0 1 11 3 4 14 11 22
Mc3r 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1
Fam210b 70 71 83 93 73 40 92 68 59 113 254 250 83 67 117 146 165
Aurka 2908 2579 3214 2550 2451 1652 3278 2155 1476 2310 3796 4505 1581 1215 2498 2990 3593
Cstf1 1167 1173 1402 1576 1367 942 1762 1066 789 996 1687 2596 931 689 1361 1577 1772
Cass4 39 32 55 231 150 130 253 110 104 5 4 134 47 36 99 102 154
Rtfdc1 1544 1594 1857 1760 1636 1064 1857 1306 946 1084 1784 2608 904 667 1475 1626 1995
Gcnt7 0 1 4 11 1 3 10 7 6 0 1 11 3 5 5 7 13
Fam209 0 1 0 4 4 1 1 1 0 0 3 3 1 0 0 0 2
Tfap2c 1674 1666 1980 1169 1121 762 1051 712 387 1619 3071 3210 1321 872 1222 1459 1798
Bmp7 80 106 92 55 37 28 62 43 32 161 328 160 66 43 51 54 79
Spo11 0 0 0 1 0 0 2 1 0 1 6 3 0 0 1 2 4
Rae1 2191 2185 2573 2279 2126 1393 2482 1702 1175 1530 2859 3863 1424 1041 2287 2686 3054
Rbm38 1198 1203 1352 1895 1699 1230 1912 1148 1039 861 1757 2999 1115 739 1648 1418 1767
Ctcfl 30 14 10 17 19 11 18 19 13 16 21 66 22 15 72 63 65
Ctcflos 0 0 0 0 1 0 2 0 0 1 1 3 0 0 1 2 3
Pck1 3 10 15 2 8 5 5 8 6 2 14 6 1 4 1 10 7
Zbp1 152 154 203 71 82 45 130 77 44 43 71 28 10 2 36 40 35
Pmepa1 908 945 1088 853 809 578 946 562 384 414 681 977 425 257 418 540 605
1700021F07Rik 0 0 0 2 0 1 0 0 0 0 0 3 1 0 0 1 1
Ankrd60 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Ppp4r1l-ps 35 45 44 41 26 20 36 29 14 41 65 66 21 15 33 48 54
Rab22a 513 530 666 484 493 314 664 379 277 248 626 776 267 238 407 565 674
Mir6340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1700010B08Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Vapb 1875 1807 2043 1613 1591 1032 2031 1270 1105 1461 2414 2806 953 674 1843 2010 2342
Stx16 828 801 1163 1033 949 582 1297 844 586 644 1074 1572 558 440 918 1315 1395
Npepl1 893 876 971 740 689 415 690 489 338 685 1203 1578 588 379 787 810 875
Gm10714 2 2 2 3 1 4 1 4 1 1 1 3 0 2 6 8 3
Mir296 0 0 0 4 0 1 0 0 0 1 0 3 0 0 0 0 0
Mir298 0 0 0 1 0 0 0 1 0 0 0 2 0 2 1 0 1
Nespas 35 25 44 62 73 48 93 68 39 13 41 129 33 37 77 79 87
Gnas 5420 5565 6184 3915 3715 2486 3889 2563 1813 7517 14148 10743 4075 2827 4838 5385 7114
Nelfcd 1549 1455 1790 1336 1149 852 1269 884 659 1129 2002 2663 979 701 1502 1628 1865
Ctsz 2011 1957 2300 1911 1846 1186 2744 1964 1387 1291 1981 2249 863 606 1056 1257 1474
Tubb1 1 2 0 1 1 0 1 3 0 1 1 1 0 1 1 1 3
Atp5e 2170 2170 2469 2113 1867 1169 1937 1350 1143 1777 2581 3116 1076 755 1893 1920 2326
Slmo2 1201 1205 1373 1475 1375 872 1935 1298 878 1079 1720 2708 881 676 1662 2053 2398
Zfp831 2 0 2 0 0 1 1 2 1 0 1 2 1 0 0 4 2
Edn3 3 7 1 18 22 9 25 21 7 5 21 9 5 1 10 8 8
Gm14393 183 150 220 190 172 95 226 132 92 87 172 305 108 86 220 296 329
Gm14391 6 7 9 9 19 11 12 12 12 12 6 26 4 2 14 14 14
0610010B08Rik 49 35 44 55 53 32 65 40 31 28 62 91 43 27 46 90 86
Gm6710 735 664 906 876 829 462 1169 788 471 473 732 1529 521 463 1034 1393 1594
Gm14288 115 87 123 112 81 54 111 79 59 76 121 139 54 28 106 139 140
Gm14440 433 441 578 535 473 310 667 469 267 251 436 822 232 235 473 714 786
Gm14430 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm4724 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm14308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm14434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OTTMUSG00000016609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm8898 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm14431 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm14306 0 1 1 2 3 0 3 2 0 0 1 4 0 1 0 3 2
Gm14436 417 435 539 628 576 310 673 443 239 245 380 866 275 225 429 673 811
Gm14405 134 182 242 209 219 106 218 156 71 71 167 357 87 77 179 306 359
Gm14305 493 494 664 555 525 279 680 479 276 330 625 847 315 254 621 882 928
Gm14295 253 210 306 249 249 146 414 250 177 203 327 366 126 97 362 481 437
Gm14420 618 643 776 837 705 446 876 555 353 331 594 1054 352 308 652 964 1071
Gm14403 493 439 565 565 484 305 661 422 256 292 502 776 313 246 573 788 854
Gm14322 695 714 860 1004 989 575 1319 880 569 513 783 1903 597 532 1161 1624 1712
Gm14325 1296 1284 1652 1609 1527 860 1960 1311 813 831 1369 2673 937 723 1716 2490 2668
Gm14327 50 56 67 50 47 38 77 36 33 38 57 72 34 16 59 66 81
Gm14326 726 741 885 812 769 470 1059 684 433 428 791 1352 426 354 903 1297 1392
Etohi1 396 379 477 435 420 206 539 316 210 227 420 684 212 183 408 603 605
Zfp931 283 271 331 309 285 160 386 227 149 173 284 439 156 103 339 502 472
Phactr3 21 15 23 25 30 16 36 24 21 13 19 25 12 10 44 53 52
Sycp2 45 51 54 60 69 53 75 59 40 18 34 69 17 12 38 40 62
Ppp1r3d 22 10 18 17 15 6 21 20 15 8 10 18 7 7 23 16 26
Fam217b 23 17 32 25 24 17 36 26 23 8 38 43 14 7 24 17 26
Cdh26 2 4 1 5 5 5 13 6 5 2 2 9 6 2 7 5 12
4930591A17Rik 34 40 65 27 46 21 73 67 41 18 51 55 20 8 64 70 79
Cdh4 47 45 42 98 102 76 132 97 58 38 67 213 83 72 77 99 137
Taf4a 834 868 953 1074 944 610 1130 799 543 612 1456 1962 696 519 1094 1402 1620
4921531C22Rik 6 10 19 14 20 13 16 15 15 8 25 27 12 10 18 16 24
Lsm14b 1167 1249 1461 1202 1152 737 1254 809 640 1300 2582 3062 1118 769 1839 2235 2464
Psma7 3665 3597 3992 4087 4003 2418 5032 3262 2810 3443 5243 7784 2827 2046 5732 5923 6791
Ss18l1 85 120 137 150 120 91 145 81 63 83 143 261 92 60 150 140 200
Mtg2 395 375 471 422 369 251 441 281 248 309 477 710 254 192 486 475 505
Hrh3 1 3 3 15 9 3 22 13 15 1 4 12 3 4 9 11 11
Osbpl2 352 417 469 515 459 321 496 327 233 250 422 771 317 213 401 537 561
Adrm1 3607 3859 4258 4817 4477 3183 5313 3593 2636 3264 5384 8516 3271 2282 4757 4662 5526
Lama5 8013 8057 11100 6806 6335 4455 5780 4053 2316 3523 7473 8921 3240 2237 4098 4360 5196
Mir7005 6 14 8 7 6 3 7 2 1 9 2 1 3 1 2 3 2
Rps21 10808 9977 11613 10528 9842 6503 10937 7192 7113 8485 12109 16849 6430 4211 12459 11503 12617
Mir3091 34 37 34 65 47 43 86 53 65 27 47 114 38 30 74 72 69
Cables2 347 279 353 297 280 146 246 184 117 238 414 476 146 107 181 223 277
Rbbp8nl 0 2 1 3 2 3 37 17 17 4 17 26 11 9 51 54 56
Gata5 0 0 1 0 0 0 1 1 0 0 1 2 0 0 1 1 1
Gata5os 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
B230312C02Rik 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2
Gm6307 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
Mir1a-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mir133a-2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
Slco4a1 103 96 126 232 149 108 206 118 83 44 70 175 52 43 102 99 122
Ntsr1 0 1 0 2 3 1 3 4 0 2 3 1 0 0 2 4 1
Mrgbp 248 238 280 319 277 205 403 233 203 200 315 502 202 140 357 361 402
Ogfr 1256 1234 1591 1423 1311 884 1557 994 745 1230 1994 2438 860 642 1209 1235 1479
Col9a3 103 89 85 87 60 47 134 74 75 33 62 83 24 18 54 56 58
Tcfl5 388 415 476 465 436 270 846 599 382 181 297 388 142 103 556 578 595
Dido1 3112 3107 4066 4004 3728 2341 3842 2503 1719 1957 3688 7058 2337 1856 3396 4462 4845
Gid8 1632 1600 2042 2421 2319 1369 2599 1602 1301 1212 1814 4329 1471 1159 2646 3200 3472
Slc17a9 221 275 327 455 405 247 409 235 234 145 294 592 218 165 306 349 390
Bhlhe23 0 0 0 11 6 4 4 2 5 3 2 16 9 6 13 7 9
Mir124a-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ythdf1 2534 2549 3160 3477 3274 1967 3901 2531 1726 1928 3456 5325 1804 1344 2944 3628 4005
Birc7 19 17 22 25 19 21 19 18 17 5 15 22 10 5 12 13 11
Nkain4 52 60 59 63 44 29 40 22 21 58 83 185 64 56 57 99 107
Arfgap1 1015 1033 1130 1033 1081 702 1232 836 602 732 1199 1962 706 484 1204 1207 1354
Col20a1 76 57 75 44 38 33 21 12 4 30 64 57 17 11 10 17 26
Chrna4 45 53 72 34 39 26 52 41 27 14 33 71 17 16 53 56 67
Kcnq2 1 2 8 10 12 13 22 24 9 7 18 34 7 11 42 39 40
Eef1a2 6 12 9 7 9 8 19 16 9 5 2 27 9 2 13 24 26
Ppdpf 1275 1229 1467 1322 1292 856 1387 1193 804 875 1316 2279 874 584 1885 1750 2083
Ptk6 59 47 50 8 18 7 17 17 5 2 2 4 0 1 1 3 3
Srms 0 1 10 12 8 6 14 21 7 10 20 32 18 6 27 25 28
BC051628 1 0 0 1 2 1 2 0 1 0 0 7 0 1 1 3 2
Helz2 60 48 85 93 90 66 125 114 47 124 255 190 82 61 126 176 183
Gmeb2 492 527 614 547 529 336 607 421 299 362 627 946 324 225 605 717 744
Stmn3 211 181 221 213 188 107 239 158 110 45 58 134 51 27 90 96 101
Rtel1 1345 1361 1769 1971 1698 1112 2148 1437 1015 949 1687 3240 1143 860 1798 2182 2310
Arfrp1 414 383 519 483 494 276 590 416 263 364 663 984 330 243 514 636 730
Zgpat 403 427 533 556 594 362 620 439 322 276 633 1131 403 300 747 720 856
Lime1 197 220 280 382 392 211 438 281 203 194 379 706 272 174 377 463 550
Slc2a4rg-ps 50 50 47 80 76 47 83 44 43 54 99 174 62 45 75 113 119
Zbtb46 73 67 67 81 98 63 96 67 40 56 123 165 61 42 89 113 128
Abhd16b 5 9 5 0 2 4 2 2 4 0 2 6 1 1 5 5 3
Tpd52l2 2066 2117 2354 2041 2032 1140 2399 1502 1213 1328 2268 3115 1018 782 1922 2146 2399
Dnajc5 3384 3315 4175 2565 2295 1625 2862 1849 1218 2226 4416 4130 1467 1052 2102 2742 3068
Uckl1 458 460 561 256 273 195 264 263 169 235 384 317 115 91 195 203 247
Uckl1os 19 20 28 21 22 16 24 18 27 14 23 22 15 8 14 19 28
Znf512b 589 634 850 994 919 571 1106 772 510 387 795 1666 596 425 948 1153 1365
Mir7006 0 1 0 2 1 0 2 0 1 0 0 3 0 0 0 0 3
Samd10 109 127 164 121 113 64 135 115 72 122 228 279 109 59 161 192 217
Prpf6 3047 2877 3698 3403 3089 1962 3702 2382 1654 2117 3427 5179 1771 1333 2870 3590 4185
Sox18 3 5 1 0 5 3 5 5 1 12 31 21 10 0 29 23 27
Tcea2 48 31 69 44 61 35 71 76 30 44 77 112 23 24 45 70 85
Rgs19 447 442 496 377 374 256 563 368 250 423 695 737 292 183 461 436 551
Lkaaear1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0
Oprl1 5 18 10 24 22 10 19 21 7 3 9 30 13 4 11 17 31
Myt1 0 2 2 3 5 4 8 2 3 1 1 12 3 5 7 13 13
Pcmtd2 280 312 367 328 317 170 364 227 162 273 397 579 208 179 279 445 505
Polr3k 532 483 543 452 421 268 727 439 351 482 740 834 300 233 668 796 849
Gm14496 0 0 2 2 1 0 0 1 0 0 0 1 0 0 0 1 0
Hnf4g 0 1 4 0 0 0 0 1 0 0 1 0 1 0 0 0 1
1110015O18Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2700069I18Rik 0 0 0 0 0 0 1 0 0 0 0 1 1 1 2 1 2
Zfhx4 9 5 6 9 10 11 13 5 5 54 96 142 47 29 69 86 128
Pex2 222 233 297 224 192 120 229 173 105 302 451 428 154 121 260 332 392
1700008P02Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pkia 38 50 55 68 47 18 49 39 9 100 151 121 38 16 68 71 95
Zc2hc1a 591 622 749 422 383 236 362 262 171 308 677 928 257 182 419 558 634
Il7 10 9 9 12 11 4 10 4 6 5 10 18 6 7 7 4 14
1700010I02Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Gm6194 154 140 172 169 167 114 199 140 103 117 176 266 80 68 132 149 149
Stmn2 1808 1770 2093 1602 1497 877 1562 970 687 1876 2794 3999 1466 1033 2312 3173 3457
Hey1 61 51 45 47 51 20 37 31 17 122 209 268 118 70 155 169 198
Mrps28 935 875 977 866 878 562 795 557 478 752 1073 1330 497 310 883 845 859
Tpd52 4913 4816 5790 4623 4027 2590 4022 2431 1885 3064 5063 7244 2589 2002 2833 3865 4391
4930539M17Rik 0 6 4 4 5 0 0 2 0 7 4 6 5 0 1 2 3
Zbtb10 1092 1090 1489 1090 918 622 1072 679 367 508 1109 1324 410 311 444 623 786
C030034L19Rik 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1
Zfp704 869 891 1093 945 876 605 944 593 435 553 958 1658 525 400 734 969 1086
Pag1 68 67 91 67 88 47 123 76 58 29 57 53 21 20 40 46 50
Fabp5 408 337 461 187 154 111 279 156 142 810 1150 1185 405 304 702 794 1058
Gm9833 1192 1188 1452 941 874 528 1496 1015 667 1038 2023 2298 866 586 1641 1970 2211
Pmp2 0 0 0 0 0 0 0 0 0 0 1 8 1 3 1 4 1
Fabp9 0 0 0 2 2 0 0 2 0 0 0 3 0 0 2 4 1
Fabp4 23 25 52 10 7 5 12 10 3 14 42 13 6 5 4 33 29
Fabp12 1 1 0 0 0 1 0 0 0 0 2 3 0 0 0 0 0
Impa1 1318 1315 1628 1288 1144 686 1116 848 474 1519 2333 3128 1099 899 1482 2050 2266
Slc10a5 1 1 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0
Zfand1 409 441 502 372 345 205 410 266 222 461 646 875 320 235 561 754 805
Chmp4c 262 268 306 222 203 121 215 120 102 355 510 907 317 227 508 608 660
Snx16 327 354 430 517 458 255 446 324 200 158 256 482 166 125 253 291 365
Gm10745 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
Ralyl 0 0 1 0 1 0 4 2 2 1 2 0 1 0 0 5 1
4930539N22Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm6300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Slc7a12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lrrcc1 325 338 365 335 303 180 330 218 134 333 443 698 262 193 314 475 571
E2f5 356 363 432 399 401 231 421 311 179 530 1016 977 334 244 502 740 837
1810022K09Rik 1224 1251 1461 1297 1276 764 1792 1152 1033 1086 1774 2369 742 539 2463 2730 2474
Car13 271 294 377 163 146 96 230 142 95 183 364 355 112 92 232 290 350
Car1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
Car3 110 101 133 193 199 89 166 114 79 227 361 399 145 127 178 177 229
Car2 3706 3621 4182 4983 4621 2965 3695 2761 1972 2921 4386 6100 2141 1576 3208 3595 4295
A930001A20Rik 2 3 3 6 3 2 0 1 0 1 0 3 2 0 4 0 1
Gm9733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Sirpb1a 1 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Sirpb1b 1 0 3 0 0 0 0 1 0 0 0 1 0 0 0 0 0
LOC100038947 1 0 3 0 0 0 0 2 0 0 0 1 0 0 1 3 0
Gm5150 0 1 0 0 1 0 1 0 0 2 1 4 2 0 1 0 0
Ythdf3 1636 1664 2213 1919 1728 1057 2349 1507 935 1518 2567 3639 1226 916 1927 2761 3086
2610100L16Rik 0 0 0 0 0 1 0 0 0 1 0 7 0 0 2 3 1
Mir124a-2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cypt12 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0
